Nombre;Tipo;Numeración;Nombre_limpio;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7;Token8;Token9;Token10;Token11;Token12;Token13;Token14
esc.n°103 coronel nicolas barrosj.c.;esc.;n°103;coronel nicolas barrosj.c.;coronel;nicolas;barrosj.c.;;;;;;;;;;;;
colegio provincial pbro. virgilio c. ferreyra;colegio;;provincial pbro. virgilio c. ferreyra;provincial;pbro.;virgilio;c.;ferreyra;;;;;;;;;;
esc.n°270 belindo de la fuentej.c.;esc.;n°270;belindo de la fuentej.c.;belindo;de;la;fuentej.c.;;;;;;;;;;;
escuela especial n°006 niño alcalde;escuela;n°006;especial  niño alcalde;especial;;niño;alcalde;;;;;;;;;;;
esc.n°067 dominga esther funes;esc.;n°067;dominga esther funes;dominga;esther;funes;;;;;;;;;;;;
esc.n°064 justo jose de urquizaj.c.;esc.;n°064;justo jose de urquizaj.c.;justo;jose;de;urquizaj.c.;;;;;;;;;;;
esc.n°044 filomena navarro de gondoloj.c.;esc.;n°044;filomena navarro de gondoloj.c.;filomena;navarro;de;gondoloj.c.;;;;;;;;;;;
esc.n°277 flaviano de la colinaj.c.;esc.;n°277;flaviano de la colinaj.c.;flaviano;de;la;colinaj.c.;;;;;;;;;;;
esc.n°118 el retiro;esc.;n°118;el retiro;el;retiro;;;;;;;;;;;;;
centro educativo de nivel secundario (c.e.n.s) n°326;;n°326;centro educativo de nivel secundario (c.e.n.s);centro;educativo;de;nivel;secundario;(c.e.n.s);;;;;;;;;
jardin de infantes n°17 eugenia tos de aciar;jardin de infantes;n°17;eugenia tos de aciar;eugenia;tos;de;aciar;;;;;;;;;;;
colegio secundario pcial n°4(ex-centro educ.pcial.n°1);colegio;n°4;secundario pcial (ex-centro educ.pcial.);secundario;pcial;(ex-centro;educ.pcial.);;;;;;;;;;;
esc.n°039 timoteo gordillo;esc.;n°039;timoteo gordillo;timoteo;gordillo;;;;;;;;;;;;;
jardin de infantes n°37 prof.paola a.gaitan;jardin de infantes;n°37;prof.paola a.gaitan;prof.paola;a.gaitan;;;;;;;;;;;;;
colegio secundario profeta y martir monseñor enrique angelelli;colegio;;secundario profeta y martir monseñor enrique angelelli;secundario;profeta;y;martir;monseñor;enrique;angelelli;;;;;;;;
esc.n°021 fronteras argentinas;esc.;n°021;fronteras argentinas;fronteras;argentinas;;;;;;;;;;;;;
esc.n°071 directora andrea paez orquera;esc.;n°071;directora andrea paez orquera;directora;andrea;paez;orquera;;;;;;;;;;;
esc.n°343 policia federal argentina;esc.;n°343;policia federal argentina;policia;federal;argentina;;;;;;;;;;;;
esc.n°231 maestro ramon eloy lopez;esc.;n°231;maestro ramon eloy lopez;maestro;ramon;eloy;lopez;;;;;;;;;;;
esc.n°160 felipe leonardo davila;esc.;n°160;felipe leonardo davila;felipe;leonardo;davila;;;;;;;;;;;;
esc.n°135 jose armando quiroga soaje;esc.;n°135;jose armando quiroga soaje;jose;armando;quiroga;soaje;;;;;;;;;;;
c.e.j.a. centro educativo de jovenes y adultos;;;c.e.j.a. centro educativo de jovenes y adultos;c.e.j.a.;centro;educativo;de;jovenes;y;adultos;;;;;;;;
centro educativo aicuña(ex-esc.n°068arsenio salinas);esc.;n°068;centro educativo aicuña(ex-arsenio salinas);centro;educativo;aicuña(ex-arsenio;salinas);;;;;;;;;;;
esc.n°069 director geronimo flores;esc.;n°069;director geronimo flores;director;geronimo;flores;;;;;;;;;;;;
esc.n°284 fray luis beltran;esc.;n°284;fray luis beltran;fray;luis;beltran;;;;;;;;;;;;
esc.n°324 granadero vargas;esc.;n°324;granadero vargas;granadero;vargas;;;;;;;;;;;;;
esc.n°209 club argentino de servicios;esc.;n°209;club argentino de servicios;club;argentino;de;servicios;;;;;;;;;;;
esc.n°278 miguel estanislao soler;esc.;n°278;miguel estanislao soler;miguel;estanislao;soler;;;;;;;;;;;;
esc.n°261 9 de julio;esc.;n°261;9 de julio;9;de;julio;;;;;;;;;;;;
colegio secundario provincial de anguinan;colegio;;secundario provincial de anguinan;secundario;provincial;de;anguinan;;;;;;;;;;;
colegio secundario provincial de anguinan (esc.n°345);colegio;n°345;secundario provincial de anguinan ();secundario;provincial;de;anguinan;();;;;;;;;;;
colegio secundario provincial de anguinan (esc.n°123 enzo a. cordoba);colegio;n°123;secundario provincial de anguinan ( enzo a. cordoba);secundario;provincial;de;anguinan;(;enzo;a.;cordoba);;;;;;;
esc.n°003 joaquin v.gonzalez;esc.;n°003;joaquin v.gonzalez;joaquin;v.gonzalez;;;;;;;;;;;;;
escuela provincial de comercio de nonogasta;escuela;;provincial de comercio de nonogasta;provincial;de;comercio;de;nonogasta;;;;;;;;;;
escuela especial n°375 soy feliz;escuela;n°375;especial  soy feliz;especial;;soy;feliz;;;;;;;;;;;
i.s.f.d. dra.carolina tobar garcia;;;i.s.f.d. dra.carolina tobar garcia;i.s.f.d.;dra.carolina;tobar;garcia;;;;;;;;;;;
